Incident Date,Incident ID,Incident Category
2018/12/13,9,Offences Against The Family And Children
2018/12/21,1,Embezzlement
2018/12/08,3,Arson
2018/12/16,8,Suspicious Occ
2018/12/31,27,Non-Criminal
2018/12/30,19,Non-Criminal
2018/12/18,3,Case Closure
2018/12/12,2,Miscellaneous Investigation
2018/12/17,27,Assault
2018/12/05,6,Missing Person
2018/12/27,1,Stolen Property
2018/12/18,15,Warrant
2018/12/26,8,Traffic Violation Arrest
2018/12/13,1,Vandalism
2018/12/02,1,Civil Sidewalks
2018/12/29,1,Weapons Offense
2018/12/23,3,Miscellaneous Investigation
2018/12/08,4,Forgery And Counterfeiting
2018/12/31,27,Other Miscellaneous
2018/12/24,14,Motor Vehicle Theft
2018/12/14,11,Fraud
2018/12/08,2,Vandalism
2018/12/25,11,Motor Vehicle Theft
2018/12/27,4,Case Closure
2018/12/17,22,Malicious Mischief
2018/12/10,2,Other
2018/12/21,17,Burglary
2018/12/30,31,Other Miscellaneous
2018/12/27,23,Warrant
2018/12/10,10,Other Offenses
2018/12/23,1,Prostitution
2018/12/12,18,Lost Property
2018/12/09,1,Courtesy Report
2018/12/20,8,Disorderly Conduct
2018/12/23,13,Lost Property
2018/12/29,1,Vehicle Misplaced
2018/12/04,130,Larceny Theft
2018/12/18,6,Stolen Property
2018/12/15,16,Motor Vehicle Theft
2018/12/22,15,Drug Offense
2018/12/19,4,Missing Person
2019/01/01,1,Malicious Mischief
2018/12/16,107,Larceny Theft
2018/12/26,14,Warrant
2018/12/13,11,Missing Person
2018/12/17,20,Other Miscellaneous
2018/12/18,5,Traffic Violation Arrest
2018/12/08,2,Embezzlement
2018/12/30,23,Malicious Mischief
2018/12/31,23,Malicious Mischief
2018/12/01,19,Lost Property
2018/12/28,2,Courtesy Report
2018/12/31,23,Assault
2018/12/14,6,Drug Offense
2018/12/05,2,Forgery And Counterfeiting
2018/12/21,10,Offences Against The Family And Children
2018/12/20,18,Motor Vehicle Theft
2018/12/06,3,Other Offenses
2018/12/08,10,Missing Person
2018/12/30,27,Assault
2018/12/15,7,Disorderly Conduct
2018/12/02,3,Weapons Offense
2018/12/24,5,Disorderly Conduct
2018/12/04,11,Suspicious Occ
2018/12/04,1,Weapons Carrying Etc
2018/12/17,19,Non-Criminal
2018/12/26,3,Stolen Property
2018/12/25,2,Disorderly Conduct
2018/12/27,7,Traffic Violation Arrest
2018/12/22,3,Fraud
2018/12/01,5,Miscellaneous Investigation
2018/12/09,12,Offences Against The Family And Children
2018/12/05,19,Assault
2018/12/31,2,Forgery And Counterfeiting
2018/12/13,53,Other Miscellaneous
2018/12/17,12,Missing Person
2018/12/24,1,Fire Report
2018/12/08,22,Non-Criminal
2018/12/19,44,Other Miscellaneous
2018/12/20,7,Drug Offense
2018/12/28,14,Burglary
2018/12/12,9,Robbery
2018/12/02,1,Vehicle Impounded
2018/12/22,14,Disorderly Conduct
2018/12/13,21,Non-Criminal
2018/12/14,19,Motor Vehicle Theft
2018/12/06,8,Suspicious Occ
2018/12/04,1,Other
2018/12/24,6,Fraud
2018/12/23,13,Robbery
2018/12/25,2,Fraud
2018/12/07,2,Weapons Offense
2018/12/08,29,Other Miscellaneous
2018/12/04,1,Other Offenses
2018/12/05,22,Malicious Mischief
2018/12/31,1,Vandalism
2018/12/15,10,Fraud
2018/12/09,1,Arson
2018/12/11,18,Burglary
2018/12/10,100,Larceny Theft
2018/12/19,22,Non-Criminal
2018/12/16,1,Other Offenses
2018/12/17,1,Vandalism
2018/12/09,18,Burglary
2018/12/11,1,Arson
2018/12/31,1,Embezzlement
2018/12/08,24,Malicious Mischief
2018/12/05,34,Other Miscellaneous
2018/12/01,7,Robbery
2018/12/13,21,Assault
2018/12/16,1,Other
2018/12/07,4,Civil Sidewalks
2018/12/19,21,Assault
2018/12/20,1,Fire Report
2018/12/19,17,Malicious Mischief
2018/12/20,12,Fraud
2018/12/28,9,Offences Against The Family And Children
2018/12/06,120,Larceny Theft
2018/12/24,4,Drug Offense
2018/12/05,20,Non-Criminal
2018/12/25,3,Drug Offense
2018/12/08,40,Assault
2018/12/30,13,Missing Person
2018/12/10,7,Suspicious Occ
2018/12/13,16,Malicious Mischief
2018/12/15,5,Drug Offense
2018/12/10,1,Weapons Carrying Etc
2018/12/22,19,Motor Vehicle Theft
2018/12/03,1,Weapons Offense
2018/12/11,6,Offences Against The Family And Children
2018/12/14,9,Disorderly Conduct
2018/12/31,14,Missing Person
2018/12/17,2,Forgery And Counterfeiting
